"","Size","Size_Contrast","Dark","Dark_Contrast","Number","idx"
"207",20,18,25,25,1,41438
"208",20,20,40,40,4,41110
"209",16,14,30,30,1,11766
"210",8,6,24,24,1,42631
"211",11,10,34,34,4,30877
"212",7,6,22,22,1,5005
"213",20,20,47,47,4,22975
"214",18,18,70,70,4,29485
"215",11,10,32,32,1,33260
"216",14,11,29,29,4,28977
"217",10,9,39,39,1,37331
"218",10,10,19,19,1,31366
"219",20,20,39,39,4,45425
"220",6,5,19,19,1,27389
"221",8,7,24,24,1,58673
"222",8,6,17,17,1,41333
"223",14,13,42,42,4,18571
"224",8,8,19,19,1,2531
"225",10,9,19,19,1,38416
"226",14,12,43,43,4,415
"227",14,12,19,19,1,57674
"228",10,8,42,42,1,28016
"229",4,3,16,16,1,19851
"230",4,3,26,26,1,5521
"231",16,14,28,28,1,16806
"232",12,12,53,53,4,18366
"233",14,14,49,49,4,36205
"234",8,6,23,23,1,4822
"235",16,15,30,30,4,24605
"236",8,6,28,28,1,31765
"237",20,18,44,44,4,1181
"238",8,7,26,26,1,30293
"239",5,4,25,25,1,49441
"240",16,16,38,38,4,707
"241",13,12,30,30,4,2393
"242",18,16,29,29,4,591
"243",10,8,32,32,1,26296
"244",16,16,55,55,4,29740
"245",14,14,53,53,4,617
"246",14,12,44,44,1,19382
"247",8,7,35,35,1,20046
"248",9,8,28,28,1,51052
"249",14,14,29,29,4,41819
"250",20,18,28,28,4,9497
"251",18,16,51,51,4,58939
"252",8,8,36,36,1,48369
"253",8,7,24,24,1,36956
"254",16,15,37,37,4,25785
"255",18,18,34,34,4,27585
"256",20,19,34,34,4,41581
"257",16,14,49,49,4,10968
"258",11,10,26,26,1,15136
"259",12,10,34,34,4,11513
"260",18,16,56,56,4,23671
"261",20,20,89,89,4,13651
"262",10,9,21,21,4,22585
"263",8,8,19,19,1,8653
"264",14,13,30,30,4,40380
"265",14,14,42,42,4,59621
"266",20,20,48,48,4,44448
"267",17,16,26,26,4,44529
"268",4,4,28,28,1,42045
"269",4,4,18,18,1,49187
"270",12,11,36,36,4,27496
"271",14,12,21,21,4,29562
"272",18,16,27,27,1,33340
"273",18,16,48,48,4,6657
"274",5,4,16,16,1,19487
"275",5,4,32,32,1,10319
"276",14,12,19,19,4,36201
"277",10,10,39,39,4,46623
"278",9,8,21,21,1,53715
"279",16,16,28,28,4,8945
"280",4,4,28,28,1,19395
"281",10,10,39,39,1,14346
"282",5,3,27,27,1,33629
"283",14,12,18,18,1,48944
"284",10,9,35,35,1,6329
"285",20,19,63,63,4,13184
"286",8,6,23,23,1,11157
"287",10,8,22,22,1,21698
"288",14,12,41,41,4,40993
"289",18,18,39,39,4,59127
"290",7,6,15,15,1,18493
"291",12,11,28,28,1,55141
"292",11,10,23,23,1,26536
"293",10,9,26,26,1,20476
"294",11,10,29,29,4,1555
"295",8,6,22,22,1,11955
"296",7,4,22,22,1,58866
"297",18,17,27,27,4,10105
"298",18,16,66,66,4,22961
"299",20,18,27,27,4,35294
"300",8,7,21,21,1,43792
"301",20,20,42,42,4,28616
"302",5,5,29,29,1,47503
"303",5,4,12,12,1,51725
"304",14,14,28,28,4,52664
"305",11,10,44,44,1,38527
"306",6,4,21,21,1,46985
"307",9,8,26,26,1,15149
"308",6,4,16,16,1,41211
"309",5,5,25,25,1,16235
"310",6,4,22,22,1,27208
"311",15,14,30,30,4,27825
"312",10,9,25,25,1,56001
"313",20,20,36,36,4,58824
"314",16,14,39,39,4,25603
"315",18,16,35,35,4,15736
"316",6,4,28,28,1,30338
"317",18,18,26,26,4,23624
"318",20,20,35,35,4,38646
"319",20,20,55,55,4,6128
"320",12,12,38,38,1,36536
"321",10,9,17,17,1,45817
"322",18,18,48,48,4,6216
"323",14,13,28,28,4,3184
"324",6,5,24,24,1,57932
"325",17,16,45,45,4,39130
"326",15,12,25,25,1,18964
"327",7,7,32,32,1,48254
"328",12,12,31,31,4,42117
"329",14,12,32,32,4,8944
"330",14,13,48,48,1,6084
"331",18,16,45,45,4,59140
"332",14,13,42,42,4,3101
"333",13,12,25,25,4,47533
"334",4,3,19,19,1,13893
"335",10,10,28,28,1,58124
"336",6,4,16,16,1,33371
"337",16,16,29,29,4,24930
"338",16,14,27,27,1,35428
"339",18,16,31,31,4,35004
"340",14,13,43,43,4,14622
"341",14,13,44,44,4,56107
"342",18,16,36,36,4,41926
"343",7,6,21,21,1,48957
"344",5,4,18,18,1,12073
"345",4,4,24,24,1,18887
"346",6,6,27,27,1,34613
"347",6,6,19,19,1,54435
"348",18,18,30,30,1,41420
"349",20,20,43,43,4,50283
"350",6,5,25,25,1,3465
"351",14,14,53,53,4,39892
"352",18,16,39,39,4,16451
"353",8,7,36,36,1,212
"354",12,12,55,55,1,36732
"355",8,8,22,22,1,33123
"356",20,19,46,46,4,53868
"357",14,14,52,52,4,8554
"358",18,16,30,30,4,16887
"359",12,10,39,39,4,50880
"360",19,18,53,53,4,51351
"361",7,6,36,36,1,48601
"362",16,16,50,50,1,40510
"363",8,7,29,29,1,50195
"364",12,12,21,21,1,1816
"365",6,5,16,16,1,28379
"366",16,15,37,37,4,56228
"367",7,6,24,24,1,21221
"368",16,15,37,37,4,57713
"369",16,14,52,52,4,8931
"370",7,6,27,27,1,21335
"371",10,9,22,22,1,46047
"372",20,18,51,51,4,8318
"373",14,13,32,32,4,50700
"374",6,5,35,35,1,20773
"375",17,16,41,41,1,2356
"376",8,7,29,29,1,52850
"377",16,14,32,32,1,47528
"378",20,18,38,38,4,4424
"379",17,16,45,45,4,28801
"380",17,13,36,36,4,46534
"381",10,8,26,26,1,11678
"382",6,5,30,30,1,35909
"383",12,11,21,21,1,37442
"384",17,16,59,59,1,29321
"385",18,18,38,38,4,7706
"386",11,10,35,35,1,35596
"387",6,4,29,29,1,21475
"388",8,8,38,38,1,10927
"389",13,11,37,37,4,51375
"390",16,16,47,47,4,33895
"391",14,14,30,30,1,14900
"392",5,4,26,26,1,30336
"393",7,5,32,32,1,38318
"394",6,5,22,22,1,22789
"395",14,14,32,32,1,57454
"396",5,4,22,22,1,45651
"397",12,12,36,36,1,20410
"398",10,8,35,35,1,14315
"399",14,12,25,25,1,29228
"400",8,6,28,28,1,53017
"401",11,8,38,38,1,47292
"402",10,10,29,29,1,15576
"403",14,13,44,44,4,56303
"404",7,6,24,24,1,46920
"405",20,18,41,41,4,927
"406",14,12,25,25,1,30008
"407",13,12,47,47,4,21778
"408",10,8,25,25,1,44562
"409",12,10,26,26,1,39858
"410",14,12,43,43,4,23581
"411",14,12,46,46,1,17136
"412",7,6,28,28,1,50208
"413",18,17,75,75,4,42264
"414",6,4,17,17,1,17255
"415",10,9,29,29,1,5780
"416",14,12,40,40,1,9332
"417",6,6,27,27,1,27346
"418",18,16,36,36,4,51678
"419",6,5,15,15,1,11229
"420",18,17,45,45,4,31884
"421",17,16,28,28,4,34222
"422",14,13,45,45,4,28510
"423",7,5,27,27,1,35723
"424",10,8,36,36,1,26987
"425",16,15,46,46,4,21771
"426",7,6,24,24,1,30568
"427",18,18,38,38,4,35781
"428",11,10,26,26,1,50499
"429",20,20,56,56,4,47609
"430",12,11,31,31,4,40549
"431",8,8,22,22,1,10660
"432",10,9,33,33,1,38463
"433",12,12,29,29,4,17553
"434",10,10,20,20,1,36086
"435",18,17,53,53,4,798
"436",12,11,34,34,4,10104
"437",18,18,58,58,4,14176
"438",12,12,37,37,4,32559
"439",8,7,24,24,1,18287
"440",16,15,39,39,4,43010
"441",5,4,26,26,1,47669
"442",10,9,26,26,1,15429
"443",10,8,41,41,1,34827
"444",19,18,38,38,4,11548
"445",12,11,34,34,1,51036
"446",18,16,45,45,4,18746
"447",13,12,29,29,1,4934
"448",6,4,32,32,1,50542
"449",10,9,22,22,4,27915
"450",6,5,24,24,1,18385
"451",8,7,16,16,1,39355
"452",16,14,43,43,4,48048
"453",19,18,26,26,4,59906
"454",17,16,56,56,4,29252
"455",16,12,18,18,1,41778
"456",6,6,22,22,1,46576
"457",16,15,56,56,4,14261
"458",14,14,44,44,4,18102
"459",6,5,25,25,1,56227
"460",10,9,34,34,1,12792
"461",9,9,40,40,1,48304
"462",7,5,32,32,1,18294
"463",14,12,23,23,4,26036
"464",16,14,46,46,1,2854
"465",6,4,24,24,1,25395
"466",20,20,27,27,4,33992
"467",18,16,47,47,4,8342
"468",10,8,24,24,1,14859
"469",20,19,36,36,4,16252
"470",15,14,36,36,1,24268
"471",14,12,37,37,4,7488
"472",6,5,24,24,1,13841
"473",6,4,21,21,1,58502
"474",20,20,66,66,4,6026
"475",6,6,24,24,1,31281
"476",20,18,34,34,1,5306
"477",14,14,42,42,4,59552
"478",19,18,56,56,4,750
"479",7,7,26,26,1,1119
"480",4,4,23,23,1,39623
"481",14,13,38,38,4,43722
"482",5,4,29,29,1,54394
"483",4,4,20,20,1,28001
"484",20,20,52,52,4,23762
"485",19,18,59,59,4,21793
"486",4,4,28,28,1,52279
"487",14,14,22,22,4,15374
"488",4,3,20,20,1,49261
"489",14,13,34,34,1,28962
"490",12,10,29,29,4,7580
"491",8,8,20,20,1,1698
"492",13,11,28,28,4,43229
"493",14,12,33,33,1,38586
"494",13,12,36,36,4,2754
"495",18,17,54,54,4,37800
"496",9,8,38,38,1,32339
"497",10,8,26,26,1,1682
"498",5,4,24,24,1,58571
"499",13,11,57,57,1,55506
"500",13,12,49,49,1,32366
"501",20,18,35,35,4,9567
"502",10,8,20,20,1,42968
"503",14,12,31,31,4,36484
"504",16,14,35,35,4,29743
"505",20,20,52,52,4,47675
"506",8,6,25,25,1,11609
"507",4,2,19,19,1,12383
"508",12,9,23,23,1,49797
"509",17,16,28,28,4,56649
"510",12,12,30,30,4,45575
"511",8,8,38,38,1,50398
"512",6,4,30,30,1,32487
"513",10,8,28,28,1,46781
"514",20,20,34,34,4,22591
"515",14,13,29,29,1,29034
"516",17,14,52,52,1,12988
"517",20,20,55,55,4,45762
"518",9,8,26,26,1,2302
"519",9,8,28,28,1,22915
"520",20,20,40,40,4,21500
"521",10,10,33,33,1,22816
"522",16,15,41,41,4,24942
"523",10,10,36,36,1,19356
"524",6,5,28,28,1,47786
"525",16,14,25,25,4,41797
"526",8,8,21,21,1,56017
"527",20,20,64,64,4,51136
"528",14,14,23,23,4,1764
"529",8,6,17,17,1,55122
"530",8,6,22,22,1,5951
"531",8,6,23,23,1,13505
"532",19,17,63,63,4,55281
"533",10,9,25,25,1,48752
"534",14,14,48,48,4,19428
"535",4,3,21,21,1,26599
"536",18,17,41,41,4,15877
"537",10,9,26,26,4,56321
"538",18,16,36,36,4,18752
"539",4,4,18,18,1,12129
"540",17,16,46,46,4,38133
"541",15,13,31,31,4,21270
"542",13,12,25,25,1,4014
"543",10,8,29,29,1,2178
"544",12,10,32,32,4,3039
"545",17,16,49,49,4,44346
"546",20,20,43,43,4,12688
"547",20,19,41,41,4,3038
"548",12,10,43,43,1,3606
"549",5,4,20,20,1,56611
"550",12,12,31,31,4,6261
"551",6,6,44,44,1,24889
"552",18,15,48,48,1,13316
"553",14,12,36,36,4,43124
"554",14,12,32,32,4,14704
"555",18,16,34,34,4,29885
"556",14,13,32,32,4,48377
"557",16,15,46,46,4,46796
"558",18,16,42,42,1,37916
"559",8,6,18,18,1,31167
"560",4,3,16,16,1,41597
"561",16,15,30,30,1,594
"562",14,13,27,27,4,30591
"563",19,18,32,32,1,28293
"564",4,3,20,20,1,56689
"565",4,3,27,27,1,40972
"566",8,8,35,35,1,16223
"567",7,7,35,35,1,26010
"568",6,5,41,41,1,39595
"569",6,6,24,24,1,16111
"570",14,12,33,33,4,38012
"571",4,4,19,19,1,41147
"572",7,6,23,23,1,32938
"573",16,14,21,21,4,23714
"574",4,3,14,14,1,21091
"575",9,8,34,34,1,7974
"576",14,12,31,31,1,43270
"577",8,6,37,37,1,39847
"578",16,15,44,44,4,27766
"579",20,19,43,43,4,28844
"580",20,19,54,54,4,39813
"581",18,16,57,57,4,54043
"582",16,16,43,43,4,34001
"583",19,18,36,36,4,42426
"584",10,8,43,43,1,36258
"585",16,15,62,62,4,49139
"586",8,6,25,25,1,32987
"587",20,20,50,50,4,17142
"588",4,3,25,25,1,399
"589",8,7,18,18,1,46955
"590",12,11,40,40,4,36549
"591",16,14,67,67,4,21876
"592",8,4,20,20,1,33536
"593",9,8,19,19,1,5124
"594",10,9,27,27,1,39913
"595",13,12,44,44,1,8935
"596",15,14,30,30,4,58024
"597",4,4,24,24,1,35387
"598",12,10,25,25,1,10908
"599",9,8,43,43,1,19037
"600",16,14,46,46,4,41924
"601",12,8,34,34,1,24488
"602",10,9,34,34,1,29324
"603",18,18,62,62,4,36760
"604",14,14,47,47,4,565
"605",12,10,15,15,1,17638
"606",12,11,27,27,4,5279
"607",10,10,25,25,1,5429
"608",17,17,55,55,4,8581
"609",18,16,38,38,4,12193
"610",7,6,23,23,1,26969
"611",10,8,23,23,1,7473
"612",15,14,53,53,4,59387
"613",6,4,19,19,1,28323
"614",18,17,40,40,4,6622
"615",14,14,26,26,4,21038
"616",10,10,28,28,1,14768
"617",17,16,43,43,4,24299
"618",7,6,25,25,1,25806
"619",20,20,38,38,4,15614
"620",7,6,16,16,1,52059
"621",12,10,45,45,1,35361
"622",14,12,28,28,1,35150
"623",16,14,33,33,4,1654
"624",15,13,33,33,1,43536
"625",10,8,24,24,1,30722
"626",10,10,26,26,1,51868
"627",14,12,32,32,1,2430
"628",4,4,22,22,1,12723
"629",16,14,33,33,4,42817
"630",8,7,28,28,1,41447
"631",19,18,51,51,4,36514
"632",14,14,47,47,1,22660
"633",15,14,38,38,4,54474
"634",17,16,48,48,4,6236
"635",18,17,36,36,4,11344
"636",10,10,23,23,1,28828
"637",10,8,32,32,1,7441
"638",14,14,44,44,4,54380
"639",11,10,47,47,1,5356
"640",16,15,34,34,4,18307
"641",6,5,26,26,1,43771
"642",4,4,19,19,1,2631
"643",15,13,32,32,4,11496
"644",12,10,29,29,1,43034
"645",16,16,31,31,4,24245
"646",16,14,54,54,4,48366
"647",11,10,27,27,1,24398
"648",17,16,40,40,4,29930
"649",10,8,37,37,4,10115
"650",12,11,35,35,1,12114
"651",18,17,65,65,4,36558
"652",18,16,27,27,4,7334
"653",10,8,16,16,1,4525
"654",5,3,20,20,1,27565
"655",18,17,33,33,4,25280
"656",16,14,44,44,4,45096
"657",4,2,19,19,1,7021
"658",6,5,19,19,1,15921
"659",16,16,47,47,4,4940
"660",18,17,47,47,4,47696
"661",11,8,26,26,1,7600
"662",18,16,35,35,4,25895
"663",16,14,43,43,4,19484
"664",20,19,40,40,4,2609
"665",10,9,24,24,4,46039
"666",16,14,47,47,4,48854
"667",18,18,22,22,4,30766
"668",19,18,52,52,4,45822
"669",4,4,20,20,1,27355
"670",20,20,46,46,4,57705
"671",10,9,48,48,1,37817
"672",5,4,18,18,1,3927
"673",12,12,35,35,4,44991
"674",7,7,40,40,1,26688
"675",15,14,31,31,1,35282
"676",16,14,30,30,1,5352
"677",14,13,42,42,4,54919
"678",14,14,28,28,4,18867
"679",18,18,38,38,1,29174
"680",6,5,26,26,1,27490
"681",19,18,38,38,4,47780
"682",14,12,34,34,1,24556
"683",11,10,35,35,1,59693
"684",7,6,29,29,1,48062
"685",16,16,54,54,4,44125
"686",8,8,28,28,1,6610
"687",16,14,37,37,4,53623
"688",20,20,31,31,4,33956
"689",8,8,23,23,1,40505
"690",6,4,25,25,1,41000
"691",6,6,33,33,1,2327
"692",6,6,21,21,1,29977
"693",14,14,35,35,4,8974
"694",16,14,35,35,4,53603
"695",15,10,44,44,1,36650
"696",14,12,25,25,1,52746
"697",10,9,20,20,1,18073
"698",18,17,31,31,4,20898
"699",10,10,33,33,1,39978
"700",14,13,29,29,1,33434
"701",8,6,27,27,1,24140
"702",17,16,57,57,4,6956
"703",16,15,40,40,4,2236
"704",8,6,22,22,1,57058
"705",11,10,27,27,1,31376
"706",19,18,75,75,4,23032
"707",6,5,26,26,1,20059
"708",14,12,26,26,4,22767
"709",14,14,48,48,1,12014
"710",6,6,23,23,1,56049
"711",14,12,31,31,4,37493
"712",10,8,30,30,1,15100
"713",12,12,35,35,4,13501
"714",13,12,30,30,4,11149
"715",10,9,21,21,1,13789
"716",19,18,72,72,4,24296
"717",13,12,45,45,4,43613
"718",10,10,21,21,1,53792
"719",13,12,41,41,4,39526
"720",14,13,39,39,4,35363
"721",12,10,26,26,1,53136
"722",16,14,39,39,4,41922
"723",8,6,24,24,1,31039
"724",6,5,22,22,1,34516
"725",20,18,46,46,4,35666
"726",7,6,27,27,1,25275
"727",14,13,32,32,4,12789
"728",18,16,36,36,4,28611
"729",6,5,22,22,1,35117
"730",14,12,43,43,4,38317
"731",20,20,75,75,4,49145
"732",6,5,34,34,1,4808
"733",14,13,51,51,4,13635
"734",14,12,38,38,4,24875
"735",16,16,58,58,4,36977
"736",16,14,26,26,1,39906
"737",12,10,30,30,1,27682
"738",15,14,47,47,4,9148
"739",15,13,27,27,1,7040
"740",20,20,48,48,4,55512
"741",6,4,34,34,1,26407
"742",7,6,39,39,1,40102
"743",10,10,30,30,1,11276
"744",6,4,12,12,1,18881
"745",14,12,42,42,4,27041
"746",8,6,22,22,1,4121
"747",11,10,34,34,1,59167
"748",12,12,48,48,4,44595
"749",16,15,53,53,4,45173
"750",16,15,37,37,4,16444
"751",10,10,32,32,4,33219
"752",8,6,27,27,1,4301
"753",14,13,26,26,4,23433
"754",16,16,47,47,4,33901
"755",6,5,29,29,1,50363
"756",20,19,40,40,1,41488
"757",18,16,40,40,4,31794
"758",8,8,24,24,1,37675
"759",14,13,29,29,1,45894
"760",12,10,34,34,4,26194
"761",16,14,31,31,4,25812
"762",17,15,57,57,4,3549
"763",11,10,39,39,1,13734
"764",4,4,26,26,1,54418
"765",20,18,61,61,4,38497
"766",14,13,27,27,4,343
"767",6,5,23,23,1,56904
"768",19,18,57,57,4,52910
"769",8,7,27,27,1,26003
"770",18,14,33,33,1,37810
"771",10,8,28,28,1,52616
"772",18,16,34,34,4,52573
"773",16,14,23,23,4,57044
"774",16,15,29,29,4,52345
"775",10,9,25,25,1,34157
"776",20,18,39,39,4,57390
"777",7,6,37,37,1,16908
"778",19,17,42,42,1,24626
"779",10,9,33,33,1,49360
"780",20,20,54,54,4,28160
"781",18,17,35,35,1,35110
"782",5,4,21,21,1,39403
"783",5,4,26,26,1,46917
"784",16,14,52,52,4,56085
"785",5,3,20,20,1,31702
"786",10,8,29,29,1,24896
"787",18,16,65,65,4,18485
"788",20,18,56,56,4,12506
"789",12,10,32,32,1,27550
"790",19,17,27,27,4,31164
"791",13,12,29,29,1,34054
"792",14,13,28,28,4,49935
"793",12,11,32,32,1,47936
"794",15,14,40,40,1,12368
"795",16,14,28,28,4,53740
"796",16,14,43,43,4,25661
"797",19,17,55,55,1,7632
"798",16,15,44,44,4,9705
"799",14,14,33,33,1,44047
"800",14,12,32,32,4,55340
